Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.8696119294447058,0.9996694326400757,460.64855454119856,538.3643492509364,0.9999321699142456,488.29097904962555,509.0608175327716,0.999920129776001,429.18978230337086,508.9415818117978,0.9995636940002441,542.5015361657304,570.2194888225656,0.9994473457336426,380.1843398876405,558.7572053487828,0.9870834946632385,644.5782127808989,765.5328300561798,0.9796850085258484,276.4817415730338,763.404216409176,0.9904394745826721,662.009304775281,1061.0862154728466,0.9969325065612793,167.75877077481277,1023.5286458333334,0.9992120265960693,692.511411516854,1349.0679131554307,0.976974606513977,272.21895482209743,1126.3035463483147,0.8516755104064941,587.8887962312734,1376.9856039325844,0.7088966369628906,377.04617275280907,1307.029933286517,0.9744820594787598,592.7525163857679,1718.1824964887642,0.9436293840408325,353.30290262172286,1724.3422284644196,0.22082704305648804,595.4190806413858,1982.2792310393259,0.15503227710723877,361.2458304073034,1974.1384304775281
1,0.8733252409626456,0.999295711517334,459.62290788857683,536.0883002691947,0.999931812286377,485.14461903089887,511.39593574438203,0.9999395608901978,428.808520599251,505.40379213483146,0.999578595161438,542.5601299157304,570.496254681648,0.9994761347770691,378.412116690075,558.756876170412,0.986116886138916,645.4405138108614,766.4975421348315,0.9877550601959229,288.7339799859551,760.5260270365169,0.9872109889984131,661.478669241573,1060.9216994382023,0.9949147701263428,125.54482677902627,1033.2714477996255,0.9990898370742798,691.7414267322097,1349.3850948033707,0.9259363412857056,263.75241397471916,1078.9386557818352,0.8783502578735352,583.251331343633,1378.4689548220974,0.7755317687988281,334.92816596441946,1279.516180945693,0.9696578979492188,593.6133544007491,1710.1874122191011,0.9379299879074097,354.86467111423224,1724.8740344101125,0.21132829785346985,595.6494323501873,1982.8436622191011,0.19448518753051758,361.0146008895132,1973.330699906367
2,0.8562375675229466,0.9993549585342407,456.9570019897004,537.0163638225656,0.99993896484375,484.31040788857683,510.09505939840824,0.9999606609344482,427.06599660580525,503.4786107209738,0.9995088577270508,542.6105307818352,570.3678019662922,0.9994292259216309,376.4475070224719,557.0790174391386,0.9855929613113403,640.2972114934457,764.2768316947565,0.9887351989746094,287.72464595037457,758.1200257490636,0.9813966751098633,659.3815104166667,1059.1721529728466,0.9709439277648926,148.86868709035582,1030.1888020833333,0.999103844165802,689.2461815308989,1343.1463600187267,0.928980827331543,288.90317766853934,1021.6915379213483,0.843342661857605,590.0960469335206,1333.5915554775281,0.5574840307235718,387.36313494850185,1329.7992743445693,0.9677431583404541,595.140156835206,1710.4643609550562,0.9083867073059082,351.449847846442,1726.030694054307,0.21053975820541382,578.1552112593633,1969.8381905430713,0.21559622883796692,358.9521155196629,1972.06797167603
3,0.8721600209965426,0.9994645118713379,455.78337137172286,535.7543670997192,0.9999435544013977,483.98481390449444,509.1616192649813,0.9999648332595825,426.35614173689146,501.70382724719104,0.9994816780090332,539.067035346442,567.9500965589888,0.9993779063224792,376.2669709737828,555.7889674040263,0.9830387830734253,638.8346354166667,764.0491134129214,0.9819810390472412,287.22451427902627,752.7051878511236,0.987639307975769,680.2719013342696,1053.8494850187267,0.9656984806060791,149.12006963951308,1027.6558110955057,0.9988512396812439,683.9644779962548,1342.8490753745318,0.9701074361801147,301.85144545880155,989.1536458333334,0.900256872177124,585.797270014045,1374.7798162453184,0.6315923929214478,359.30506788389516,1323.3296757958801,0.9752579927444458,612.2373156601125,1705.7187792602997,0.9192990064620972,359.45078417602997,1722.91798338015,0.22595196962356567,590.2153558052435,1980.62968164794,0.28881335258483887,357.1068147237828,1970.7692532771537
4,0.8767823313965517,0.9995967745780945,454.2062412219101,533.3790159761236,0.999936580657959,481.9316186797753,506.5616221910113,0.9999707937240601,424.9785668305244,500.38985691713486,0.9995121955871582,536.2761148174158,569.290547460206,0.9992406368255615,375.3934047284645,551.1076120669476,0.9797053337097168,637.5737359550562,761.8632958801498,0.9788722991943359,282.82354576310865,750.8399169007491,0.9915796518325806,678.3283590823971,1051.4610399110488,0.9196375608444214,139.02351065074913,1026.2770657771537,0.998054027557373,681.7404757724719,1338.922196863296,0.9819037914276123,287.27630500936334,964.8455787687266,0.8681199550628662,571.9535639044944,1351.7136294475656,0.6930309534072876,372.75814899344573,1303.2120493913858,0.9839907288551331,607.1658473782772,1703.3216292134832,0.9422841668128967,374.47697214419475,1724.4619030898878,0.292610228061676,590.3042339653558,1978.2221441947565,0.2772539556026459,352.7426410346442,1968.2215589887642
5,0.8881733662941876,0.9996618032455444,452.2076164559926,532.1126667837079,0.9999321103096008,479.64412160580525,504.557657420412,0.9999699592590332,422.4529640683521,500.14498478464424,0.9994640350341797,534.7453622425094,565.9226503979401,0.9991454482078552,373.914223431648,548.8153236189139,0.9765129685401917,633.4524227528091,762.5564723782771,0.9888796806335449,284.854064255618,752.7050415496255,0.9919755458831787,677.394224016854,1052.0176439606741,0.92572021484375,133.793049215824,1018.6421757958802,0.9967232942581177,679.8589653558054,1335.7470154494383,0.9815551042556763,276.1591467696629,933.1300474016854,0.9056839346885681,571.6668129681648,1363.6468574438202,0.8115646243095398,356.3053751170412,1299.485311329588,0.9851679801940918,604.6291257022472,1703.4329646535582,0.9166092872619629,350.5651626872659,1722.359843164794,0.3643620014190674,589.4722904962547,1976.0864349250937,0.2560192346572876,351.4802054073034,1970.5901802434457
6,0.8808815093601451,0.9996603727340698,451.1613412921348,532.7567591292135,0.9999184608459473,477.86129154962555,504.47265625,0.9999722242355347,421.8958479634832,499.9040262172285,0.999498724937439,534.3912394662922,566.1359579822098,0.999088704586029,372.011645599251,548.779845505618,0.9725863337516785,630.9083128511236,762.3554541198503,0.9892107248306274,287.06029084737827,751.8617597144195,0.9944812059402466,675.3529523642324,1048.119221090824,0.9522379040718079,117.53350304307116,1014.2695166198503,0.9978606700897217,677.9204705056179,1337.1604342228466,0.9934563636779785,283.14599426498125,918.5756086142322,0.9244098663330078,567.1545090121723,1365.3528792134832,0.7740188837051392,353.0049596207865,1297.1232736423221,0.9774057865142822,604.4111364700375,1706.3320751404494,0.9513516426086426,349.6573618913858,1723.8006203183522,0.27207738161087036,590.8086083801498,1978.1162219101125,0.17775040864944458,352.76005091292143,1972.1599953183522
7,0.8768463485381183,0.9996300935745239,451.2668978230338,532.4572799625469,0.9999047517776489,477.7427141853933,504.64328037219104,0.9999698400497437,422.55486306179773,499.07980015215355,0.9994126558303833,533.1710118211611,567.1572887406368,0.9991632103919983,370.638679190075,548.5257929541199,0.9688798189163208,630.2800210674159,762.5817093867041,0.980371356010437,290.49705933988764,749.9329939138577,0.9951378703117371,673.700550093633,1050.9816830524344,0.9015671014785767,104.78976474719104,1016.681955173221,0.9982939958572388,678.1278528792136,1336.1916257022472,0.9936294555664062,307.2118591994382,904.1375526685393,0.8976641297340393,571.7232121956929,1369.889688670412,0.7992847561836243,349.701325491573,1291.1064782303372,0.9690649509429932,605.549288974719,1705.3060627340824,0.9295178651809692,346.74003686797755,1719.4727294007491,0.2844780683517456,590.1646623361423,1978.30392673221,0.19041800498962402,355.8676410346442,1971.897969335206
8,0.8850584363236147,0.9996294975280762,450.61556355337086,532.5014264396068,0.9998941421508789,476.73330699906376,504.48421406835206,0.9999712705612183,421.9754359784645,499.46581665496257,0.9993796348571777,531.9486628043071,564.7070678253746,0.9991700053215027,370.1313055945693,548.1770101825842,0.9694123268127441,643.3270423689139,770.5700637874533,0.9872191548347473,284.09717345505624,751.3715033941947,0.9951620101928711,671.7408415262173,1049.8314606741574,0.9795678853988647,100.17526919475654,1005.7096354166667,0.9984903335571289,675.8865139279026,1338.3504506086142,0.9899594187736511,302.49188026685397,890.2493709035581,0.9051862955093384,568.8957162921349,1359.3640273876406,0.8280385732650757,343.64832045880155,1325.1985311329588,0.9670576453208923,603.8471441947565,1706.283356741573,0.9436793327331543,352.9636294475656,1718.3874648876406,0.22155660390853882,586.806018843633,1982.9402212078653,0.262619286775589,355.0604956694757,1968.9142965823971
9,0.8799923167509192,0.9996316432952881,450.97319756554305,532.5284190660112,0.9999114274978638,478.07196570692884,504.7852294007491,0.9999711513519287,422.01062148876406,498.9949087078652,0.9994087219238281,533.1255120552435,565.8611306179776,0.9990527629852295,369.9782742275281,548.7333947799625,0.974688708782196,641.5110018726591,770.7771535580524,0.9810225963592529,269.77725596910113,752.0077686095506,0.9944949150085449,670.7463570926966,1049.6223958333333,0.9664174914360046,88.44444932116107,1004.5502691947565,0.998338520526886,674.8474075374531,1341.3813787453184,0.9836335182189941,303.8972524578652,883.9549683988764,0.9255247116088867,571.0649286048689,1350.3072331460676,0.8060741424560547,344.4175737359551,1280.9178955992509,0.9728989601135254,602.6455699906368,1704.3410580524346,0.9223945140838623,350.19875058520597,1714.8614524812735,0.2421501874923706,588.3067064606741,1981.2137172284645,0.19425541162490845,353.12551205524346,1970.6568937265918
10,0.8782763551263248,0.9996117353439331,451.02542720037457,533.2233877574906,0.9998951554298401,478.3440133426967,506.2300298455056,0.999968409538269,422.7022618211611,500.2151363529963,0.9995337724685669,533.6517585440075,567.852111130618,0.9987870454788208,371.4265127574906,549.1282259480337,0.9764280319213867,637.9724806882023,770.914603815543,0.9834839701652527,264.80900339419475,750.477893843633,0.9936707019805908,668.4885592228466,1049.2108497191011,0.9643610119819641,78.04983760533707,1004.8631349485019,0.9981688857078552,676.1324467462548,1340.714536516854,0.9874036312103271,297.691801264045,879.1431121254682,0.9181102514266968,562.8838219803371,1364.8010299625469,0.7604740858078003,346.8522501170412,1273.8053019662923,0.978390097618103,599.5243738295881,1705.0235545411986,0.9282516837120056,350.96288330992513,1714.8772530430713,0.2994522452354431,590.0193117977528,1979.7133953651687,0.1447073221206665,357.83978522940083,1973.2996839887642
11,0.8745840928133797,0.9996187686920166,451.4312675561798,532.0898803253746,0.9999104738235474,479.1024403089888,505.8629959620787,0.999968409538269,422.39319990636704,499.56138810861427,0.9994654059410095,533.5235252808989,567.6374136821162,0.9989446997642517,371.4674771769663,548.1724382607678,0.9794306755065918,635.3460030430713,770.261952832397,0.9889588356018066,272.5038769897004,746.7328680945693,0.992760181427002,669.3488120318352,1051.7529113998128,0.9631137847900391,73.93536399812734,1002.3929073033709,0.9986771941184998,677.2433140215355,1341.6905138108614,0.9924954771995544,287.57988061797755,874.1386499297753,0.9072651863098145,560.4282244850187,1371.082192181648,0.7031551599502563,350.0343077013109,1285.0261879681648,0.9787098169326782,600.3651685393259,1704.1694463951312,0.954712986946106,351.9905781835206,1717.860779494382,0.25376832485198975,590.2370084269663,1980.0007315074906,0.156974196434021,355.5478991104869,1974.4424449906367
12,0.8820946058806252,0.9996042251586914,453.4608350889513,531.117341116573,0.9999444484710693,481.21305887172286,504.0470651919476,0.9999744296073914,423.5162833567416,498.37470008192884,0.9992031455039978,529.9102440308989,564.4484799274345,0.9990900158882141,371.4885445926967,547.5049742509364,0.9773122072219849,637.123054190075,771.2380032771536,0.9923921823501587,272.9302727059925,744.562192766854,0.9939728379249573,670.1153587312735,1051.9183783941949,0.9670878648757935,110.65480893024346,1000.1439606741574,0.9984241724014282,677.7276451310861,1339.4582455524344,0.9950778484344482,307.2076896067416,878.8521184456929,0.8792104125022888,563.7805770131087,1361.0403499531835,0.7038835287094116,349.88895716292143,1289.6022062265918,0.9810086488723755,597.1509246254682,1705.2242801966293,0.9619523882865906,351.1244001638577,1718.876258192884,0.30310600996017456,589.1518170646068,1978.8626521535582,0.244363933801651,355.13562148876406,1973.1981507490636
13,0.8904250351821675,0.9995852708816528,452.4329939138577,530.5318425210675,0.9999436140060425,480.5909849016854,503.0350977294008,0.9999750852584839,422.6944346910112,497.7526992626405,0.9992733001708984,532.1169826779027,563.2834079470974,0.9991023540496826,370.8230922284645,546.7663711376405,0.9754170179367065,639.867816596442,770.6798630617977,0.9925258159637451,273.8284907537453,742.5335761938203,0.9953204989433289,668.408678604869,1049.435715121723,0.9675788879394531,109.82429190074913,998.8406337780899,0.9984322786331177,676.8424479166667,1339.1103405898878,0.9946363568305969,308.799376755618,875.7458450374533,0.8728326559066772,569.806955173221,1333.7331753277153,0.6628313064575195,364.2741251170412,1359.9158766385767,0.9735991954803467,602.6595417837079,1703.6527095037454,0.9676173329353333,343.96952539794006,1721.087751638577,0.46647700667381287,590.6304131554308,1974.5052083333335,0.27207762002944946,354.40170002340824,1971.8330114700375
14,0.886162049630109,0.9995945692062378,453.35952130149815,530.203285931648,0.999950647354126,481.0309135065544,502.5080100070225,0.999975323677063,423.3958040730338,498.08827832397003,0.9993568658828735,531.2435627340824,562.0632534527153,0.999226987361908,370.6121254681648,548.3965721558989,0.9752283096313477,639.8545763108614,771.3818176498128,0.9930443167686462,270.89865695224717,744.6751375234082,0.9952507615089417,669.3959211142324,1048.2204617275281,0.977286159992218,111.49136089653564,998.3192883895132,0.9979594349861145,678.9051527387642,1337.1801849250937,0.9959748983383179,310.16115110018734,879.3279640683521,0.8784022331237793,572.7242801966293,1365.4598256086142,0.7271509170532227,351.3249795177903,1324.3928487827716,0.9785741567611694,603.04921582397,1703.5653675093633,0.9454904794692993,349.273832514045,1716.9825316011236,0.34315037727355957,587.1496079119851,1975.854547050562,0.25913840532302856,355.50598373127343,1971.853201076779
